Elemento,Modos_de_falla,Causa_de_la_falla,Seguridad,Ambiente,Operación,Detección,Severidad,Estrategia,Frecuencia,Tiempo,Puesto_de_trabajo,Tipo_de_Mantenimiento
Reductor,Reductor no gira,Rodamientos dañados,1,1,5,5,25,Reemplace rodamientos del reductor,2A,240 min,Mecánico,PLAN
Reductor,Reductor con ruido,Perdida de viscosidad de aceite,1,1,3,1,3,Realice análisis de aceite,1A,60 min,Mecánico,PLAN
Reductor,Reductor con ruido,Componentes dañados,1,1,3,1,3,Realice análisis de vibración,6M,30 min,Mecánico,PLAN
Reductor,Reductor sucio,Exceso de suciedad,1,1,2,5,10,Limpie el reductor exteriormente con un trapo,2S,5 min,Mecánico,PLAN
Reductor,Reductor con manchas de aceite,Fuga de aceite,1,1,4,5,20,Inspeccione fugas de aceite existentes en el reductor,2S,5 min,Mecánico,PLAN
Polea,Polea dañada,Desgaste de polea,1,1,5,5,25,Inspeccione que la polea no presente juego con respecto a la flecha,6M,60 min,Operador,LILA
Polea,Polea dañada,Rodamiento dañado,1,1,4,1,4,Inspeccione visualmente que la polea no presente desgaste en los dientes,1M,60 min,Operador,LILA
Chumacera,Chumacera con ruido anormal,Falta de lubricación,1,1,3,5,15,"Lubrique la chumacera con 2 bombazos de grasa, al terminar elimine el exceso de grasa",1M,5 min,Operador,LILA
Chumacera,Chumacera con ruido anormal,Chumacera dañada,1,1,4,5,20,"Inspeccione las condiciones de la chumacera, en caso de detectar desgaste Reemplace",6M,60 min,Mecánico,PLAN
Motoreductor,Motorreductor no gira,Rodamiento dañado,1,1,4,5,20,Reemplace rodamientos del motor,1A,180 min,Mecánico,PLAN
Motoreductor,Motorreductor no gira,Motor aterrizado,1,1,4,1,4,Realice medición de la resistencia dieléctrica de las bobinas del estator,6M,30 min,Eléctrico,PLAN
Motoreductor,Motorreductor con ruido,Rodamientos dañados,1,1,4,5,20,Realice análisis de vibración,6M,30 min,Mecánico,PLAN
Motoreductor,Motorreductor sucio,Exceso de suciedad,1,1,3,5,15,Limpie la superficie del motorreductor con un trapo húmedo ,2S,5 min,Operador,LILA
Ventosa,Ventosa con fuga,Fuga,1,1,5,5,25,Inspeccione  que la ventosa no se encuentre dañada,1M,5 min,Operador,LILA
